variant_key,variant,query_id,precision_at_k,recall_at_k,mrr,ndcg_at_k,map,predicted_ids
semantic_only,Semantic only,cv_01,0.4,1.0,1.0,0.944847956559586,0.75,job_01|job_10|job_04|job_07|job_15
semantic_only,Semantic only,cv_02,0.4,1.0,1.0,0.9639404333166532,0.8333333333333333,job_02|job_08|job_13|job_03|job_11
semantic_only,Semantic only,cv_03,0.4,1.0,1.0,0.9327783893101107,0.7,job_03|job_02|job_11|job_12|job_14
semantic_only,Semantic only,cv_04,0.4,1.0,1.0,1.0,1.0,job_04|job_15|job_11|job_10|job_01
semantic_only,Semantic only,cv_05,0.2,0.5,1.0,0.8262346571285599,0.6666666666666666,job_05|job_03|job_14|job_10|job_12
semantic_only,Semantic only,cv_06,0.2,0.5,1.0,0.8262346571285599,0.5909090909090909,job_01|job_10|job_12|job_13|job_03
semantic_only,Semantic only,cv_07,0.2,1.0,0.5,0.6309297535714575,0.5,job_02|job_03|job_13|job_12|job_11
semantic_only,Semantic only,cv_08,0.2,1.0,1.0,1.0,1.0,job_13|job_02|job_11|job_12|job_03
semantic_only,Semantic only,cv_09,0.4,1.0,1.0,0.9327783893101107,0.7,job_07|job_10|job_11|job_03|job_05
semantic_only,Semantic only,cv_10,0.4,1.0,1.0,1.0,1.0,job_15|job_04|job_11|job_10|job_01
semantic_only,Semantic only,cv_11,0.2,0.5,1.0,0.6131471927654584,0.625,job_03|job_13|job_11|job_12|job_02
semantic_only,Semantic only,cv_12,0.4,1.0,1.0,1.0,1.0,job_06|job_01|job_11|job_13|job_03
semantic_only,Semantic only,cv_13,0.2,1.0,1.0,1.0,1.0,job_02|job_11|job_13|job_12|job_03
semantic_only,Semantic only,cv_14,0.2,0.5,1.0,0.8262346571285599,0.6666666666666666,job_01|job_03|job_13|job_10|job_11
semantic_only,Semantic only,cv_15,0.2,1.0,1.0,1.0,1.0,job_14|job_03|job_13|job_11|job_12
semantic_only,Semantic only,cv_16,0.4,1.0,1.0,1.0,1.0,job_08|job_02|job_13|job_11|job_03
semantic_only,Semantic only,cv_17,0.4,1.0,1.0,0.9639404333166532,0.8333333333333333,job_05|job_03|job_07|job_12|job_10
semantic_only,Semantic only,cv_18,0.4,1.0,1.0,0.944847956559586,0.75,job_01|job_10|job_13|job_04|job_11
